subject_age,subject_income_category,married,relationship_duration,children
47,125k_150k,not_married,10.5833330154419,2
66,40k_50k,married,32.0,2
43,150k_175k,married,17.5,3
59,40k_50k,married,41.4166679382324,1
57,100k_125k,married,31.25,2
64,85k_100k,married,34.3333320617676,2
34,under_5k,not_married,3.91666674613953,1
45,85k_100k,married,27.0833339691162,3
39,40k_50k,married,5.0,6
65,75k_85k,married,38.5833320617676,3
45,150k_175k,married,20.3333339691162,4
49,under_5k,not_married,2.83333325386047,1
79,over_250k,married,52.0833320617676,2
75,35k_40k,married,51.8333320617676,2
59,125k_150k,married,29.3333339691162,4
72,10k_12k,married,46.6666679382324,2
52,100k_125k,married,22.6666660308838,2
63,50k_60k,married,39.5833320617676,2
35,85k_100k,not_married,2.16666674613953,1
68,60k_75k,married,48.5,2
39,over_250k,married,9.33333301544189,4
77,30k_35k,married,51.9166679382324,2
56,60k_75k,married,29.25,1
58,75k_85k,married,22.4166660308838,4
29,over_250k,not_married,2.08333325386047,4
75,35k_40k,married,56.1666679382324,2
66,85k_100k,married,47.75,2
43,40k_50k,married,21.4166660308838,4
32,100k_125k,not_married,14.5,2
64,100k_125k,married,43.4166679382324,2
60,125k_150k,married,26.0,2
35,75k_85k,married,16.3333339691162,5
62,200k_250k,married,19.6666660308838,2
70,12k_15k,not_married,0.583333313465118,2
43,40k_50k,not_married,14.5833330154419,2
63,over_250k,married,33.6666679382324,2
55,100k_125k,married,29.9166660308838,2
57,150k_175k,married,32.5,5
50,100k_125k,married,12.9166669845581,2
58,200k_250k,married,39.3333320617676,2
33,100k_125k,not_married,5.16666650772095,1
45,40k_50k,married,9.41666698455811,2
76,35k_40k,not_married,52.75,2
46,40k_50k,married,23.9166660308838,4
70,40k_50k,married,41.4166679382324,2
35,60k_75k,married,5.0,2
29,20k_25k,married,9.33333301544189,1
32,75k_85k,married,10.1666669845581,1
62,75k_85k,married,46.5833320617676,2
63,125k_150k,married,40.4166679382324,5
58,25k_30k,married,26.0,2
75,150k_175k,married,30.4166660308838,2
59,50k_60k,married,35.9166679382324,3
69,100k_125k,not_married,41.75,2
80,25k_30k,not_married,51.5833320617676,2
46,100k_125k,married,8.08333301544189,4
66,35k_40k,married,46.8333320617676,2
52,125k_150k,married,30.5,3
62,100k_125k,married,22.1666660308838,2
51,50k_60k,not_married,22.4166660308838,2
38,50k_60k,married,16.5833339691162,5
75,25k_30k,married,58.75,2
74,85k_100k,married,41.3333320617676,3
65,15k_20k,not_married,5.16666650772095,1
64,85k_100k,married,15.0,2
64,100k_125k,married,29.0,3
61,75k_85k,married,41.0833320617676,4
73,85k_100k,married,58.5,2
39,50k_60k,married,19.5,3
66,75k_85k,married,24.3333339691162,2
61,15k_20k,married,22.1666660308838,1
45,over_250k,married,24.4166660308838,1
48,under_5k,married,30.5833339691162,4
31,175k_200k,married,7.75,2
67,100k_125k,married,45.1666679382324,2
49,150k_175k,married,14.75,3
65,under_5k,married,34.1666679382324,2
59,100k_125k,married,36.0,2
46,150k_175k,not_married,23.5,4
63,25k_30k,not_married,39.0833320617676,3
49,85k_100k,married,14.3333330154419,2
56,60k_75k,married,20.25,2
47,125k_150k,married,26.3333339691162,4
43,60k_75k,not_married,3.33333325386047,1
62,150k_175k,married,34.0,2
61,100k_125k,married,12.9166669845581,2
53,85k_100k,married,15.4166669845581,3
26,60k_75k,not_married,0.416666656732559,1
61,75k_85k,married,46.3333320617676,2
49,150k_175k,married,27.0833339691162,3
77,125k_150k,married,53.6666679382324,2
